name,year,place,chef,category,location,ranking
Boat Street Cafe,2012,Boat Street Cafe,Renee Erickson,Best Chef: Northwest,"Seattle, Washington",Semifinalist
La Grenouille,2012,La Grenouille,,Outstanding Service,"New York, New York",Winner
Seviche,2012,Seviche,Anthony Lamas,Best Chef: Southeast,"Louisville, Kentucky",Semifinalist
Niche,2012,Niche,Gerard Craft,Best Chef: Midwest,"St. Louis, Missouri",Nominee
Brooklyn Fare,2012,Brooklyn Fare,César Ramirez,Best Chef: New York City,,Semifinalist
Dana Cowin,2012,Dana Cowin,,Who's Who of Food & Beverage in America,"New York, New York",Winner
Annisa,2012,Annisa,Anita Lo,Best Chef: New York City,,Semifinalist
Uchi,2012,Uchi,Philip Speer,Outstanding Pastry Chef,"Austin, Texas",Semifinalist
The Tasting Kitchen,2012,The Tasting Kitchen,Casey Lane,Rising Star Chef of the Year,"Venice, California",Semifinalist
Harvest,2012,Harvest,,Best New Restaurant,"Louisville, Kentucky",Semifinalist
No. 9 Park,2012,No. 9 Park,,Outstanding Wine Program,"Boston, Massachusetts",Winner
Emily Luchetti,2012,Emily Luchetti,,Who's Who of Food & Beverage in America,"San Francisco, California",Winner
Neighborhood Restaurant Group,2012,Neighborhood Restaurant Group,Greg Engert,Outstanding Wine & Spirits Professional,"Alexandria, Virginia",Semifinalist
AQ,2012,AQ,,Best New Restaurant,"San Francisco, California",Nominee
Columbia Restaurant,2012,Columbia Restaurant,Richard Gonzmart,Outstanding Restaurateur,"Tampa, Florida",Semifinalist
Toro Bravo,2012,Toro Bravo,John Gorham,Best Chef: Northwest,"Portland, Oregon",Semifinalist
PDT,2012,PDT,,Outstanding Bar Program,"New York, New York",Winner
Lucques/A.O.C./Tavern,2012,Lucques/A.O.C./Tavern,Caroline Styne,Outstanding Restaurateur,"Los Angeles, California",Nominee
Romera,2012,Romera,Glen & Company,Outstanding Restaurant Design,"New York, New York",Nominee
Mozza2Go,2012,Mozza2Go,Chad Colby,Rising Star Chef of the Year,"Los Angeles, California",Semifinalist
Quilceda Creek Vintners,2012,Quilceda Creek Vintners,Alex Golitzin,Outstanding Wine & Spirits Professional,"Snohomish, Washington",Semifinalist
Emeril's,2012,Emeril's,,Outstanding Wine Program,"New Orleans, Louisiana",Nominee
Del Posto,2012,Del Posto,Mark Ladner,Best Chef: New York City,,Nominee
El Paseo,2012,El Paseo,Preston Clark,Rising Star Chef of the Year,"Mill Valley, California",Semifinalist
The Scholium Project,2012,The Scholium Project,Abe Schoener,Outstanding Wine & Spirits Professional,"Napa, California",Semifinalist
Janos,2012,Janos,Janos Wilder,Outstanding Chef,"Tucson, Arizona",Semifinalist
Legal Sea Foods,2012,Legal Sea Foods,Roger Berkowitz,Outstanding Restaurateur,"Boston, Massachusetts",Semifinalist
The Zig Zag Cafe,2012,The Zig Zag Cafe,,Outstanding Bar Program,"Seattle, Washington",Semifinalist
One Off Hospitality,2012,One Off Hospitality,Donald Madia,Outstanding Restaurateur,"Chicago, Illinois",Semifinalist
Serevan,2012,Serevan,Serge Madikians,Best Chef: Northeast,"Amenia, New York",Semifinalist
Schwa,2012,Schwa,Michael Carlson,Best Chef: Great Lakes,"Chicago, Illinois",Nominee
Wild Rice Restaurant,2012,Wild Rice Restaurant,,Outstanding Wine Program,"Bayfield, Wisconsin",Semifinalist
Hungry Ghost Bread,2012,Hungry Ghost Bread,Cheryl Maffai,Outstanding Pastry Chef,"Northampton, Massachusetts",Semifinalist
The Columbia Room,2012,The Columbia Room,,Outstanding Bar Program,"Washington, District of Columbia",Semifinalist
Holly Hill Inn,2012,Holly Hill Inn,Ouita Michel,Best Chef: Southeast,"Midway, Kentucky",Semifinalist
Manny's Steakhouse,2012,Manny's Steakhouse,,Outstanding Service,"Minneapolis, Minnesota",Semifinalist
Telepan,2012,Telepan,Bill Telepan,Best Chef: New York City,,Semifinalist
Marvin Shanken,2012,Marvin Shanken,,Who's Who of Food & Beverage in America,"New York, New York",Winner
Masa,2012,Masa,Masa Takayama,Best Chef: New York City,,Semifinalist
