name,year,place,chef,category,location,ranking
Commis,2020,Commis,James Syhabout,Best Chef: California,"Oakland, California",Semifinalist
Birdie G's,2020,Birdie G's,Jeremy Fox,Best Chef: California,"Santa Monica, California",Nominee
Angler,2020,Angler,Joshua Skenes,Best Chef: California,"San Francisco, California",Nominee
Nightbird,2020,Nightbird,Kim Alter,Best Chef: California,"San Francisco, California",Semifinalist
Nightshade,2020,Nightshade,Mei Lin,Best Chef: California,"Los Angeles, California",Semifinalist
Mourad,2020,Mourad,Mourad Lahlou,Best Chef: California,"San Francisco, California",Nominee
Puritan Backroom,2020,Puritan Backroom,,America's Classics,"Manchester, New Hampshire",Winner
Zero Foodprint,2020,Zero Foodprint,,Humanitarian of the Year,,Winner
Cala,2020,Cala,Gabriela Cámara,Best Chef: California,"San Francisco, California",Semifinalist
n/naka,2020,n/naka,Niki Nakayama,Best Chef: California,"Los Angeles, California",Semifinalist
Thattu,2020,Thattu,,Best New Restaurant,"Chicago, Illinois",Semifinalist
Penrose Room,2020,Penrose Room,Luis Young,Best Chef: Mountain,"Colorado Springs, Colorado",Semifinalist
Granor Farm,2020,Granor Farm,Abra Berens,Best Chef: Great Lakes,"THREE OAKS, Michigan",Semifinalist
Larder Delicatessen & Bakery,2020,Larder Delicatessen & Bakery,Allie E La Valle-Umansky,Best Chef: Great Lakes,"Shaker Heights, Ohio",Semifinalist
Razza,2020,Razza,Dan Richer,Best Chef: Mid-Atlantic,"Jersey City, New Jersey",Semifinalist
Anju,2020,Anju,Danny Lee,Best Chef: Mid-Atlantic,"Washington, District of Columbia",Semifinalist
Canal House Station,2020,Canal House Station,Christopher Hirsheimer,Best Chef: Mid-Atlantic,"Milford, New Jersey",Semifinalist
Zenebech Restaurant,2020,Zenebech Restaurant,Zenebech Dessu,Best Chef: Mid-Atlantic,"Washington, District of Columbia",Semifinalist
Rupee,2020,Rupee,Heliotrope Architects,Outstanding Restaurant Design (75 Seats and Under),"Seattle, Washington",Winner
Heirloom,2020,Heirloom,Matthew Kern,Best Chef: Mid-Atlantic,"Lewes, Delaware",Semifinalist
BOCA Tacos Y Tequila,2020,BOCA Tacos Y Tequila,Maria Mazon,Best Chef: Southwest,"Tucson, Arizona",Semifinalist
Elote Cafe,2020,Elote Cafe,Jeff Smedstad,Best Chef: Southwest,"Sedona, Arizona",Nominee
HANDLE,2020,HANDLE,Briar Handly,Best Chef: Mountain,"Park City, Utah",Semifinalist
Table X Restaurant,2020,Table X Restaurant,Nick Fahs,Best Chef: Mountain,"Salt Lake City, Utah",Semifinalist
ATLA,2020,ATLA,Daniela Soto-Innes,Outstanding Chef,"New York, New York",Nominee
Other Mama,2020,Other Mama,Dan Krohmer,Best Chef: Southwest,"Las Vegas, Nevada",Nominee
Lil' Deb's Oasis,2020,Lil' Deb's Oasis,Carla Perez-Gallardo,Outstanding Chef,"Hudson, New York",Semifinalist
Hell's Backbone Grill & Farm,2020,Hell's Backbone Grill & Farm,Jennifer Lyn Castle,Best Chef: Mountain,"Boulder, Utah",Nominee
Four by Brother Luck,2020,Four by Brother Luck,Brother Luck,Best Chef: Mountain,"Colorado Springs, Colorado",Semifinalist
Annette,2020,Annette,Caroline Glover,Best Chef: Mountain,"Aurora, Colorado",Nominee
Bar Dough,2020,Bar Dough,Carrie Baird,Best Chef: Mountain,"Denver, Colorado",Nominee
Spuntino,2020,Spuntino,Cindhura Reddy,Best Chef: Mountain,"Denver, Colorado",Semifinalist
Super Mega Bien,2020,Super Mega Bien,Dana Rodriguez,Best Chef: Mountain,"Denver, Colorado",Nominee
The Tasting Room at Chico Hot Springs,2020,The Tasting Room at Chico Hot Springs,David Wells,Best Chef: Mountain,"Livingston, Montana",Semifinalist
Teton Thai,2020,Teton Thai,Suchada Johnson,Best Chef: Mountain,"Teton Village, Wyoming",Semifinalist
Penrose Room,2020,Penrose Room,Luis Young,Best Chef: Mountain,"Colorado Springs, Colorado",Semifinalist
Sazón,2020,Sazón,Fernando Olea,Best Chef: Southwest,"Santa Fe, New Mexico",Semifinalist
Amelia's Wood Fired Cuisine,2020,Amelia's Wood Fired Cuisine,Kevin Snell,Best Chef: Southeast,"Sand Springs, Oklahoma",Semifinalist
HALL by o.d.o,2020,HALL by o.d.o,SIMPLICITY,Outstanding Restaurant Design (75 Seats and Under),"New York, New York",Nominee
Swan & Bar Bevy,2020,Swan & Bar Bevy,Ken Fulk Inc,Outstanding Restaurant Design (76 Seats and Over),"Miami, Florida",Nominee
Rupee,2020,Rupee,Heliotrope Architects,Outstanding Restaurant Design (76 Seats and Over),"Seattle, Washington",Winner
Fisher's at Orange Beach Marina,2020,Fisher's at Orange Beach Marina,Bill Briand,Best Chef: South,"Orange Beach, Alabama",Semifinalist
Spoonbill Watering Hole & Restaurant,2020,Spoonbill Watering Hole & Restaurant,"Vermillion Architects, LLC",Outstanding Restaurant Design (75 Seats and Under),"Lafayette, Louisiana",Nominee
The Table at Season to Taste,2020,The Table at Season to Taste,Carl Dooley,Best Chef: Northeast,"Cambridge, Massachusetts",Semifinalist
